"Plot Title: 20416034"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20416034, SEN S/N: 20416034)","Intensity, Lux (LGR S/N: 20416034, SEN S/N: 20416034)","Coupler Attached (LGR S/N: 20416034)","Host Connected (LGR S/N: 20416034)","Stopped (LGR S/N: 20416034)","End Of File (LGR S/N: 20416034)"
336,07/26/19 08:00:00 AM,30.356,4133.4,,,,
337,07/26/19 09:00:00 AM,31.064,33066.9,,,,
338,07/26/19 10:00:00 AM,31.574,21355.7,,,,
339,07/26/19 11:00:00 AM,31.880,30311.3,,,,
340,07/26/19 12:00:00 PM,31.880,115734.1,,,,
341,07/26/19 01:00:00 PM,30.457,3100.0,,,,
342,07/26/19 02:00:00 PM,30.356,3444.5,,,,
343,07/26/19 03:00:00 PM,30.457,13777.9,,,,
344,07/26/19 04:00:00 PM,30.963,22044.6,,,,
345,07/26/19 05:00:00 PM,30.558,19977.9,,,,
346,07/26/19 06:00:00 PM,30.255,3444.5,,,,
347,07/26/19 07:00:00 PM,30.154,32.3,,,,
348,07/26/19 08:00:00 PM,30.054,0.0,,,,
349,07/26/19 09:00:00 PM,30.255,0.0,,,,
350,07/26/19 10:00:00 PM,30.154,0.0,,,,
351,07/26/19 11:00:00 PM,30.054,0.0,,,,
352,07/27/19 12:00:00 AM,30.054,0.0,,,,
353,07/27/19 01:00:00 AM,30.054,0.0,,,,
354,07/27/19 02:00:00 AM,29.953,0.0,,,,
355,07/27/19 03:00:00 AM,30.054,0.0,,,,
356,07/27/19 04:00:00 AM,30.054,0.0,,,,
357,07/27/19 05:00:00 AM,30.054,0.0,,,,
358,07/27/19 06:00:00 AM,30.054,43.1,,,,
359,07/27/19 07:00:00 AM,30.255,4994.5,,,,
360,07/27/19 08:00:00 AM,30.862,23422.4,,,,
361,07/27/19 09:00:00 AM,31.166,24800.2,,,,
362,07/27/19 10:00:00 AM,31.166,20666.8,,,,
363,07/27/19 11:00:00 AM,31.983,16533.4,,,,
364,07/27/19 12:00:00 PM,31.064,17911.2,,,,
365,07/27/19 01:00:00 PM,30.760,15844.5,,,,
366,07/27/19 02:00:00 PM,31.472,38578.0,,,,
367,07/27/19 03:00:00 PM,30.457,7577.8,,,,
368,07/27/19 04:00:00 PM,30.255,2755.6,,,,
369,07/27/19 05:00:00 PM,30.356,5166.7,,,,
370,07/27/19 06:00:00 PM,30.457,7233.4,,,,
371,07/27/19 07:00:00 PM,30.154,0.0,,,,
372,07/27/19 08:00:00 PM,30.154,0.0,,,,
373,07/27/19 09:00:00 PM,30.154,0.0,,,,
374,07/27/19 10:00:00 PM,30.154,0.0,,,,
375,07/27/19 11:00:00 PM,30.154,0.0,,,,
376,07/28/19 12:00:00 AM,30.154,0.0,,,,
377,07/28/19 01:00:00 AM,29.953,0.0,,,,
378,07/28/19 02:00:00 AM,29.953,0.0,,,,
379,07/28/19 03:00:00 AM,29.853,0.0,,,,
380,07/28/19 04:00:00 AM,29.752,0.0,,,,
381,07/28/19 05:00:00 AM,29.752,0.0,,,,
382,07/28/19 06:00:00 AM,30.054,21.5,,,,
383,07/28/19 07:00:00 AM,30.154,3616.7,,,,
384,07/28/19 08:00:00 AM,30.356,9300.1,,,,
385,07/28/19 09:00:00 AM,30.659,17222.3,,,,
386,07/28/19 10:00:00 AM,31.676,34444.7,,,,
387,07/28/19 11:00:00 AM,32.291,66133.8,,,,
388,07/28/19 12:00:00 PM,31.778,34444.7,,,,
389,07/28/19 01:00:00 PM,30.255,828.8,,,,
390,07/28/19 02:00:00 PM,30.558,11022.3,,,,
391,07/28/19 03:00:00 PM,30.659,18600.1,,,,
392,07/28/19 04:00:00 PM,30.862,13777.9,,,,
393,07/28/19 05:00:00 PM,30.558,7577.8,,,,
394,07/28/19 06:00:00 PM,30.457,2411.1,,,,
395,07/28/19 07:00:00 PM,30.255,0.0,,,,
396,07/28/19 08:00:00 PM,30.255,0.0,,,,
397,07/28/19 09:00:00 PM,30.255,0.0,,,,
398,07/28/19 10:00:00 PM,30.154,0.0,,,,
399,07/28/19 11:00:00 PM,30.154,0.0,,,,
400,07/29/19 12:00:00 AM,30.255,0.0,,,,
401,07/29/19 01:00:00 AM,30.255,0.0,,,,
402,07/29/19 02:00:00 AM,30.255,0.0,,,,
403,07/29/19 03:00:00 AM,30.154,0.0,,,,
404,07/29/19 04:00:00 AM,30.154,0.0,,,,
405,07/29/19 05:00:00 AM,30.154,0.0,,,,
406,07/29/19 06:00:00 AM,30.054,64.6,,,,
407,07/29/19 07:00:00 AM,30.356,7577.8,,,,
408,07/29/19 08:00:00 AM,30.862,12400.1,,,,
409,07/29/19 09:00:00 AM,31.472,11022.3,,,,
410,07/29/19 10:00:00 AM,32.394,63378.2,,,,
411,07/29/19 11:00:00 AM,32.911,57867.0,,,,
412,07/29/19 12:00:00 PM,33.222,77156.1,,,,
413,07/29/19 01:00:00 PM,33.743,79911.6,,,,
414,07/29/19 02:00:00 PM,31.370,7233.4,,,,
415,07/29/19 03:00:00 PM,30.659,3100.0,,,,
416,07/29/19 04:00:00 PM,30.558,5166.7,,,,
417,07/29/19 05:00:00 PM,30.457,4822.3,,,,
418,07/29/19 06:00:00 PM,30.255,624.3,,,,
419,07/29/19 07:00:00 PM,30.154,0.0,,,,
420,07/29/19 08:00:00 PM,30.054,0.0,,,,
421,07/29/19 09:00:00 PM,30.154,0.0,,,,
422,07/29/19 10:00:00 PM,30.154,0.0,,,,
423,07/29/19 11:00:00 PM,30.054,0.0,,,,
424,07/30/19 12:00:00 AM,30.255,0.0,,,,
425,07/30/19 01:00:00 AM,30.154,0.0,,,,
426,07/30/19 02:00:00 AM,30.054,0.0,,,,
427,07/30/19 03:00:00 AM,29.953,0.0,,,,
428,07/30/19 04:00:00 AM,30.154,0.0,,,,
429,07/30/19 05:00:00 AM,30.054,0.0,,,,
430,07/30/19 06:00:00 AM,29.953,86.1,,,,
431,07/30/19 07:00:00 AM,30.356,5338.9,,,,
432,07/30/19 08:00:00 AM,30.760,9300.1,,,,
433,07/30/19 09:00:00 AM,31.370,18600.1,,,,
434,07/30/19 10:00:00 AM,30.862,9300.1,,,,
435,07/30/19 11:00:00 AM,31.166,37200.2,,,,
436,07/30/19 12:00:00 PM,32.291,66133.8,,,,
437,07/30/19 01:00:00 PM,31.778,8266.7,,,,
438,07/30/19 02:00:00 PM,31.880,14466.8,,,,
439,07/30/19 03:00:00 PM,30.659,5511.1,,,,
440,07/30/19 04:00:00 PM,30.457,3788.9,,,,
441,07/30/19 05:00:00 PM,30.356,1463.9,,,,
442,07/30/19 06:00:00 PM,30.356,2066.7,,,,
443,07/30/19 07:00:00 PM,30.255,0.0,,,,
444,07/30/19 08:00:00 PM,30.255,0.0,,,,
445,07/30/19 09:00:00 PM,30.255,0.0,,,,
446,07/30/19 10:00:00 PM,30.054,0.0,,,,
447,07/30/19 11:00:00 PM,30.255,0.0,,,,
448,07/31/19 12:00:00 AM,30.255,0.0,,,,
449,07/31/19 01:00:00 AM,30.154,0.0,,,,
450,07/31/19 02:00:00 AM,30.054,0.0,,,,
451,07/31/19 03:00:00 AM,30.154,0.0,,,,
