"Plot Title: 20415922"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20415922, SEN S/N: 20415922)","Intensity, Lux (LGR S/N: 20415922, SEN S/N: 20415922)","Coupler Attached (LGR S/N: 20415922)","Coupler Detached (LGR S/N: 20415922)","Host Connected (LGR S/N: 20415922)","Stopped (LGR S/N: 20415922)","End Of File (LGR S/N: 20415922)"
386,07/28/19 10:00:00 AM,31.370,33066.9,,,,,
387,07/28/19 11:00:00 AM,31.983,31689.1,,,,,
388,07/28/19 12:00:00 PM,31.880,44089.2,,,,,
389,07/28/19 01:00:00 PM,30.558,721.2,,,,,
390,07/28/19 02:00:00 PM,30.457,12400.1,,,,,
391,07/28/19 03:00:00 PM,30.659,15844.5,,,,,
392,07/28/19 04:00:00 PM,30.760,12400.1,,,,,
393,07/28/19 05:00:00 PM,30.558,6544.5,,,,,
394,07/28/19 06:00:00 PM,30.457,2152.8,,,,,
395,07/28/19 07:00:00 PM,30.255,0.0,,,,,
396,07/28/19 08:00:00 PM,30.255,0.0,,,,,
397,07/28/19 09:00:00 PM,30.255,0.0,,,,,
398,07/28/19 10:00:00 PM,30.154,0.0,,,,,
399,07/28/19 11:00:00 PM,30.154,0.0,,,,,
400,07/29/19 12:00:00 AM,30.154,0.0,,,,,
401,07/29/19 01:00:00 AM,30.154,0.0,,,,,
402,07/29/19 02:00:00 AM,30.154,0.0,,,,,
403,07/29/19 03:00:00 AM,30.154,0.0,,,,,
404,07/29/19 04:00:00 AM,30.255,0.0,,,,,
405,07/29/19 05:00:00 AM,30.154,0.0,,,,,
406,07/29/19 06:00:00 AM,30.154,64.6,,,,,
407,07/29/19 07:00:00 AM,30.255,5511.1,,,,,
408,07/29/19 08:00:00 AM,30.558,12400.1,,,,,
409,07/29/19 09:00:00 AM,31.064,17222.3,,,,,
410,07/29/19 10:00:00 AM,31.983,14466.8,,,,,
411,07/29/19 11:00:00 AM,32.704,42711.4,,,,,
412,07/29/19 12:00:00 PM,33.326,38578.0,,,,,
413,07/29/19 01:00:00 PM,33.953,44089.2,,,,,
414,07/29/19 02:00:00 PM,32.394,5166.7,,,,,
415,07/29/19 03:00:00 PM,30.760,2927.8,,,,,
416,07/29/19 04:00:00 PM,30.659,4305.6,,,,,
417,07/29/19 05:00:00 PM,30.457,3961.1,,,,,
418,07/29/19 06:00:00 PM,30.356,581.3,,,,,
419,07/29/19 07:00:00 PM,30.255,0.0,,,,,
420,07/29/19 08:00:00 PM,30.054,0.0,,,,,
421,07/29/19 09:00:00 PM,30.054,0.0,,,,,
422,07/29/19 10:00:00 PM,30.054,0.0,,,,,
423,07/29/19 11:00:00 PM,30.255,0.0,,,,,
424,07/30/19 12:00:00 AM,30.154,0.0,,,,,
425,07/30/19 01:00:00 AM,30.154,0.0,,,,,
426,07/30/19 02:00:00 AM,30.154,0.0,,,,,
427,07/30/19 03:00:00 AM,30.054,0.0,,,,,
428,07/30/19 04:00:00 AM,30.154,0.0,,,,,
429,07/30/19 05:00:00 AM,30.054,0.0,,,,,
430,07/30/19 06:00:00 AM,29.953,75.3,,,,,
431,07/30/19 07:00:00 AM,30.255,3788.9,,,,,
432,07/30/19 08:00:00 AM,30.457,11022.3,,,,,
433,07/30/19 09:00:00 AM,31.166,15155.7,,,,,
