Plot Title: Agat LL (20154265),,,,,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154265, SEN S/N: 20154265)","Intensity, Lux (LGR S/N: 20154265, SEN S/N: 20154265)",Coupler Attached (LGR S/N: 20154265),Coupler Detached (LGR S/N: 20154265),Stopped (LGR S/N: 20154265),End Of File (LGR S/N: 20154265)
362,12/6/2017 22:10,29.352,0,,,,
363,12/6/2017 22:20,29.352,0,,,,
364,12/6/2017 22:30,29.352,0,,,,
365,12/6/2017 22:40,29.452,0,,,,
366,12/6/2017 22:50,29.452,0,,,,
367,12/6/2017 23:00,29.452,0,,,,
368,12/6/2017 23:10,29.452,0,,,,
369,12/6/2017 23:20,29.352,0,,,,
370,12/6/2017 23:30,29.352,0,,,,
371,12/6/2017 23:40,29.352,0,,,,
372,12/6/2017 23:50,29.352,0,,,,
373,12/7/2017 0:00,29.352,0,,,,
374,12/7/2017 0:10,29.352,0,,,,
375,12/7/2017 0:20,29.352,0,,,,
376,12/7/2017 0:30,29.252,0,,,,
377,12/7/2017 0:40,29.252,0,,,,
378,12/7/2017 0:50,29.252,0,,,,
379,12/7/2017 1:00,29.152,0,,,,
380,12/7/2017 1:10,29.152,0,,,,
381,12/7/2017 1:20,29.053,0,,,,
382,12/7/2017 1:30,29.053,0,,,,
383,12/7/2017 1:40,29.053,0,,,,
384,12/7/2017 1:50,28.953,0,,,,
385,12/7/2017 2:00,28.953,0,,,,
386,12/7/2017 2:10,28.953,0,,,,
387,12/7/2017 2:20,28.853,0,,,,
388,12/7/2017 2:30,28.853,0,,,,
389,12/7/2017 2:40,28.853,0,,,,
390,12/7/2017 2:50,28.754,0,,,,
391,12/7/2017 3:00,28.754,0,,,,
392,12/7/2017 3:10,28.754,0,,,,
393,12/7/2017 3:20,28.754,0,,,,
394,12/7/2017 3:30,28.655,0,,,,
395,12/7/2017 3:40,28.655,0,,,,
396,12/7/2017 3:50,28.655,0,,,,
397,12/7/2017 4:00,28.555,0,,,,
398,12/7/2017 4:10,28.555,0,,,,
399,12/7/2017 4:20,28.555,0,,,,
400,12/7/2017 4:30,28.456,0,,,,
401,12/7/2017 4:40,28.456,0,,,,
402,12/7/2017 4:50,28.456,0,,,,
403,12/7/2017 5:00,28.357,0,,,,
404,12/7/2017 5:10,28.357,0,,,,
405,12/7/2017 5:20,28.258,0,,,,
406,12/7/2017 5:30,28.258,0,,,,
407,12/7/2017 5:40,28.258,0,,,,
408,12/7/2017 5:50,28.159,0,,,,
409,12/7/2017 6:00,28.159,0,,,,
410,12/7/2017 6:10,28.159,0,,,,
411,12/7/2017 6:20,28.159,10.8,,,,
412,12/7/2017 6:30,28.159,96.9,,,,
413,12/7/2017 6:40,28.258,322.9,,,,
414,12/7/2017 6:50,28.258,721.2,,,,
415,12/7/2017 7:00,28.258,1087.2,,,,
416,12/7/2017 7:10,28.357,2411.1,,,,
417,12/7/2017 7:20,28.456,2325,,,,
418,12/7/2017 7:30,28.456,3272.2,,,,
419,12/7/2017 7:40,28.555,3100,,,,
420,12/7/2017 7:50,28.555,5166.7,,,,
421,12/7/2017 8:00,28.655,8611.2,,,,
422,12/7/2017 8:10,28.754,4822.3,,,,
423,12/7/2017 8:20,28.853,6544.5,,,,
424,12/7/2017 8:30,28.953,4994.5,,,,
425,12/7/2017 8:40,29.252,10333.4,,,,
426,12/7/2017 8:50,29.352,10333.4,,,,
427,12/7/2017 9:00,29.452,13777.9,,,,
428,12/7/2017 9:10,29.552,9300.1,,,,
429,12/7/2017 9:20,29.552,9644.5,,,,
430,12/7/2017 9:30,29.752,5511.1,,,,
431,12/7/2017 9:40,29.652,9644.5,,,,
432,12/7/2017 9:50,29.752,11711.2,,,,
433,12/7/2017 10:00,29.752,9300.1,,,,
434,12/7/2017 10:10,29.853,15844.5,,,,
435,12/7/2017 10:20,29.953,5511.1,,,,
436,12/7/2017 10:30,29.953,13777.9,,,,
437,12/7/2017 10:40,29.953,13777.9,,,,
438,12/7/2017 10:50,30.154,17911.2,,,,
439,12/7/2017 11:00,30.255,11711.2,,,,
440,12/7/2017 11:10,29.953,12400.1,,,,
441,12/7/2017 11:20,30.356,22044.6,,,,
442,12/7/2017 11:30,30.356,19289,,,,
443,12/7/2017 11:40,30.356,44089.2,,,,
444,12/7/2017 11:50,30.457,28933.5,,,,
445,12/7/2017 12:00,30.356,18600.1,,,,
446,12/7/2017 12:10,30.558,55111.5,,,,
447,12/7/2017 12:20,30.659,74400.5,,,,
448,12/7/2017 12:30,31.064,42711.4,,,,
449,12/7/2017 12:40,30.862,41333.6,,,,
450,12/7/2017 12:50,30.558,13777.9,,,,
451,12/7/2017 13:00,30.659,12400.1,,,,
452,12/7/2017 13:10,30.862,60622.6,,,,
453,12/7/2017 13:20,30.862,17222.3,,,,
454,12/7/2017 13:30,30.76,19977.9,,,,
